Data
57.2;W;Labuschagne to Hamidullah Qadri, OUT;Hamidullah Qadri c Siddle b Labuschagne 5 (46m 29b 0x4 0x6) SR: 17.24;
71.1;?;Critchley to Marsh, no run;
70.6;?;Hamidullah Qadri to Wade, no run;
70.5;?;Hamidullah Qadri to Wade, no run;
70.4;?;Hamidullah Qadri to Wade, no run;
70.3;1;Hamidullah Qadri to Marsh, 1 run;
70.2;?;Hamidullah Qadri to Marsh, no run;
70.1;?;Hamidullah Qadri to Marsh, no run;
69.6;?;Critchley to Wade, no run;
69.5;1;Critchley to Marsh, 1 run;
69.4;1;Critchley to Wade, 1 run;
69.3;?;Critchley to Wade, no run;
69.2;W;Critchley to Smith, OUT;Steven Smith c Hamidullah Qadri b Critchley 23 (47m 38b 2x4 0x6) SR: 60.52;
69.1;4;Critchley to Smith, FOUR runs;
68.6;?;Hamidullah Qadri to Marsh, no run;
68.5;1;Hamidullah Qadri to Smith, 1 run;
68.4;?;Hamidullah Qadri to Smith, no run;
68.3;1;Hamidullah Qadri to Marsh, 1 run;
68.2;1;Hamidullah Qadri to Smith, 1 run;
68.1;4;Hamidullah Qadri to Smith, FOUR runs;
67.6;?;Critchley to Marsh, no run;
67.5;?;Critchley to Marsh, no run;
67.4;?;Critchley to Marsh, no run;
67.3;1;Critchley to Smith, 1 run;
67.2;?;Critchley to Smith, no run;
67.1;?;Critchley to Smith, no run;
66.6;1;Hamidullah Qadri to Smith, 1 run;
66.5;2;Hamidullah Qadri to Smith, 2 runs;
66.4;?;Hamidullah Qadri to Smith, no run;
66.3;?;Hamidullah Qadri to Smith, no run;
66.2;?;Hamidullah Qadri to Smith, no run;
66.1;?;Hamidullah Qadri to Smith, no run;
65.6;1;Critchley to Smith, 1 run;
65.5;?;Critchley to Smith, no run;
65.4;?;Critchley to Smith, no run;
65.3;?;Critchley to Smith, no run;
65.2;?;Critchley to Smith, no run;
65.1;?;Critchley to Smith, no run;
64.6;?;Hamidullah Qadri to Marsh, no run;
64.5;2;Hamidullah Qadri to Marsh, 2 runs;
64.4;?;Hamidullah Qadri to Marsh, no run;
64.3;4;Hamidullah Qadri to Marsh, FOUR runs;
64.2;?;Hamidullah Qadri to Marsh, no run;
64.1;?;Hamidullah Qadri to Marsh, no run;
63.6;1;Critchley to Marsh, 1 run;
63.5;?;Critchley to Marsh, no run;
63.4;?;Critchley to Marsh, no run;
63.3;?;Critchley to Marsh, no run;
63.2;4;Critchley to Marsh, FOUR runs;
63.1;1;Critchley to Smith, 1 run;
62.6;?;Hamidullah Qadri to Marsh, no run;
62.5;?;Hamidullah Qadri to Marsh, no run;
62.4;?;Hamidullah Qadri to Marsh, no run;
62.3;1;Hamidullah Qadri to Smith, 1 run;
62.2;1;Hamidullah Qadri to Marsh, 1 run;
62.1;?;Hamidullah Qadri to Marsh, no run;
61.6;1;Dal to Marsh, 1 run;
61.5;?;Dal to Marsh, no run;
61.4;?;Dal to Marsh, no run;
61.3;4;Dal to Marsh, FOUR runs;
61.2;?;Dal to Marsh, no run;
61.1;?;Dal to Marsh, no run;
60.6;?;Hamidullah Qadri to Smith, no run;
60.5;1;Hamidullah Qadri to Marsh, 1 run;
60.4;?;Hamidullah Qadri to Marsh, no run;
60.3;1;Hamidullah Qadri to Smith, 1 run;
60.2;1;Hamidullah Qadri to Marsh, 1 run;
60.1;1;Hamidullah Qadri to Smith, 1 run;
59.6;?;Dal to Marsh, no run;
59.5;?;Dal to Marsh, no run;
59.4;?;Dal to Marsh, no run;
59.3;2;Dal to Marsh, 2 runs;
59.2;1;Dal to Smith, 1 run;
59.1;?;Dal to Smith, no run;
58.6;1;Hamidullah Qadri to Smith, 1 run;
58.5;?;Hamidullah Qadri to Smith, no run;
58.4;?;Hamidullah Qadri to Smith, no run;
58.3;?;Hamidullah Qadri to Smith, no run;
58.2;?;Hamidullah Qadri to Smith, no run;
58.1;1;Hamidullah Qadri to Marsh, 1 run;
57.6;?;Dal to Smith, no run;
57.5;?;Dal to Smith, no run;
57.4;3;Dal to Marsh, 3 runs;
57.3;?;Dal to Marsh, no run;
57.2;?;Dal to Marsh, no run;
57.1;1;Dal to Smith, 1 run;
56.6;4;Hamidullah Qadri to Marsh, FOUR runs;
56.5;?;Hamidullah Qadri to Marsh, no run;
56.4;4;Hamidullah Qadri to Marsh, FOUR runs;
56.3;1;Hamidullah Qadri to Smith, 1 run;
56.2;?;Hamidullah Qadri to Smith, no run;
56.1;1;Hamidullah Qadri to Marsh, 1 run;
55.6;W;Dal to Khawaja, OUT;Usman Khawaja b Dal 72 (220m 157b 8x4 0x6) SR: 45.85;
55.5;1;Dal to Marsh, 1 run;
55.4;1;Dal to Khawaja, 1 run;
55.3;?;Dal to Khawaja, no run;
55.2;?;Dal to Khawaja, no run;
55.1;?;Dal to Khawaja, no run;
54.6;?;Hamidullah Qadri to Marsh, no run;
54.5;4;Hamidullah Qadri to Marsh, FOUR runs;
54.4;1;Hamidullah Qadri to Khawaja, 1 run;
54.3;?;Hamidullah Qadri to Khawaja, no run;
54.2;2;Hamidullah Qadri to Khawaja, 2 runs;
54.1;1;Hamidullah Qadri to Marsh, 1 run;
53.6;?;Critchley to Khawaja, no run;
53.5;1;Critchley to Marsh, 1 run;
53.4;?;Critchley to Marsh, no run;
53.3;?;Critchley to Marsh, no run;
53.2;?;Critchley to Marsh, no run;
53.1;1;Critchley to Khawaja, 1 run;
52.6;?;Hamidullah Qadri to Marsh, no run;
52.5;?;Hamidullah Qadri to Marsh, no run;
52.4;1;Hamidullah Qadri to Khawaja, 1 run;
52.3;?;Hamidullah Qadri to Khawaja, no run;
52.2;?;Hamidullah Qadri to Khawaja, no run;
52.1;?;Hamidullah Qadri to Khawaja, no run;
51.6;?;Critchley to Marsh, no run;
51.5;?;Critchley to Marsh, no run;
51.4;1;Critchley to Khawaja, 1 run;
51.3;?;Critchley to Khawaja, no run;
51.2;1;Critchley to Marsh, 1 run;
51.1;?;Critchley to Marsh, no run;
50.6;?;Hamidullah Qadri to Khawaja, no run;
50.5;?;Hamidullah Qadri to Khawaja, no run;
50.4;?;Hamidullah Qadri to Khawaja, no run;
50.3;4;Hamidullah Qadri to Khawaja, FOUR runs;
50.2;?;Hamidullah Qadri to Khawaja, no run;
50.1;?;Hamidullah Qadri to Khawaja, no run;
49.6;?;Critchley to Marsh, no run;
49.5;?;Critchley to Marsh, no run;
49.4;1;Critchley to Khawaja, 1 run;
49.3;?;Critchley to Khawaja, no run;
49.2;1;Critchley to Marsh, 1 run;
49.1;1;Critchley to Khawaja, 1 run;
48.6;?;Dal to Marsh, no run;
48.5;?;Dal to Marsh, no run;
48.4;?;Dal to Marsh, no run;
48.3;4;Dal to Marsh, FOUR runs;
48.2;1;Dal to Khawaja, 1 run;
48.1;?;Dal to Khawaja, no run;
47.6;?;Critchley to Marsh, no run;
47.5;?;Critchley to Marsh, no run;
47.4;1;Critchley to Khawaja, 1 run;
47.3;4;Critchley to Khawaja, FOUR runs;
47.2;2;Critchley to Khawaja, 2 runs;
47.1;4;Critchley to Khawaja, FOUR runs;
46.6;?;Dal to Marsh, no run;
46.5;?;Dal to Marsh, no run;
46.4;?;Dal to Marsh, no run;
46.3;2;Dal to Marsh, 2 runs;
46.2;?;Dal to Marsh, no run;
46.1;?;Dal to Marsh, no run;
45.6;?;Hughes to Khawaja, no run;
45.5;2b;Hughes to Khawaja, 2 byes;
45.4;?;Hughes to Khawaja, no run;
45.3;?;Hughes to Khawaja, no run;
45.2;?;Hughes to Khawaja, no run;
45.1;4;Hughes to Khawaja, FOUR runs;
44.6;?;Dal to Marsh, no run;
44.5;?;Dal to Marsh, no run;
44.4;?;Dal to Marsh, no run;
44.3;?;Dal to Marsh, no run;
44.2;?;Dal to Marsh, no run;
44.1;?;Dal to Marsh, no run;
43.6;?;Hughes to Khawaja, no run;
43.5;1;Hughes to Marsh, 1 run;
43.4;?;Hughes to Marsh, no run;
43.3;1;Hughes to Khawaja, 1 run;
43.2;?;Hughes to Khawaja, no run;
43.1;?;Hughes to Khawaja, no run;
42.6;?;Dal to Marsh, no run;
42.5;?;Dal to Marsh, no run;
42.4;?;Dal to Marsh, no run;
42.3;?;Dal to Marsh, no run;
42.2;1;Dal to Khawaja, 1 run;
42.1;?;Dal to Khawaja, no run;
41.6;?;Hughes to Marsh, no run;
41.5;1;Hughes to Khawaja, 1 run;
41.4;1;Hughes to Marsh, 1 run;
41.3;?;Hughes to Marsh, no run;
41.2;?;Hughes to Marsh, no run;
41.1;?;Hughes to Marsh, no run;
40.6;1;Hamidullah Qadri to Marsh, 1 run;
40.5;?;Hamidullah Qadri to Marsh, no run;
40.4;?;Hamidullah Qadri to Marsh, no run;
40.3;3;Hamidullah Qadri to Khawaja, 3 runs;
40.2;?;Hamidullah Qadri to Khawaja, no run;
40.1;?;Hamidullah Qadri to Khawaja, no run;
39.6;1;Gleadall to Khawaja, 1 run;
39.5;?;Gleadall to Khawaja, no run;
39.4;?;Gleadall to Khawaja, no run;
39.3;?;Gleadall to Khawaja, no run;
39.2;?;Gleadall to Khawaja, no run;
39.1;?;Gleadall to Khawaja, no run;
38.6;?;Hamidullah Qadri to Marsh, no run;
38.5;2;Hamidullah Qadri to Marsh, 2 runs;
38.4;?;Hamidullah Qadri to Marsh, no run;
38.3;?;Hamidullah Qadri to Marsh, no run;
38.2;?;Hamidullah Qadri to Marsh, no run;
38.1;?;Hamidullah Qadri to Marsh, no run;
37.6;?;Gleadall to Khawaja, no run;
37.5;?;Gleadall to Khawaja, no run;
37.4;?;Gleadall to Khawaja, no run;
37.3;?;Gleadall to Khawaja, no run;
37.2;3;Gleadall to Marsh, 3 runs;
37.1;?;Gleadall to Marsh, no run;
36.6;?;Hamidullah Qadri to Khawaja, no run;
36.5;?;Hamidullah Qadri to Khawaja, no run;
36.4;?;Hamidullah Qadri to Khawaja, no run;
36.3;?;Hamidullah Qadri to Khawaja, no run;
36.2;?;Hamidullah Qadri to Khawaja, no run;
36.1;?;Hamidullah Qadri to Khawaja, no run;

 Innings Start
Tour Match, Derby, Aug 29 - 31 2019, Australia tour of England
172 &
338/5d
Player of the match is 
