Data
0.6;?;Neser to Wells, no run;
0.5;?;Neser to Wells, no run;
0.4;?;Neser to Wells, no run;
0.3;?;Neser to Wells, no run;
0.2;?;Neser to Wells, no run;
0.1;?;Neser to Wells, no run;

 Innings Start
Tour Match (D/N), Hove, Jun 7 2018, Australia tour of England
277/9
220
Player of the match is 
