Data
49.6;W;Topley to Cummins, OUT;Pat Cummins c Cook b Topley 2 (3m 3b 0x4 0x6) SR: 66.66;
3.6;W;McKay to Cook, OUT;Alastair Cook c Clarke b McKay 5 (16m 15b 1x4 0x6) SR: 33.33;
3.5;?;McKay to Cook, no run;
3.4;?;McKay to Cook, no run;
3.3;?;McKay to Cook, no run;
3.2;4;McKay to Cook, FOUR runs;
3.1;?;McKay to Cook, no run;
2.6;?;Lee to Westley, no run;
2.5;4;Lee to Westley, FOUR runs;
2.4;W;Lee to Pettini, OUT;Mark Pettini c Cummins b Lee 1 (10m 7b 0x4 0x6) SR: 14.28;
2.3;?;Lee to Pettini, no run;
2.2;?;Lee to Pettini, no run;
2.1;?;Lee to Pettini, no run;
1.6;?;McKay to Cook, no run;
1.5;?;McKay to Cook, no run;
1.4;?;McKay to Cook, no run;
1.3;?;McKay to Cook, no run;
1.2;?;McKay to Cook, no run;
1.1;?;McKay to Cook, no run;
0.6;1;Lee to Cook, 1 run;
0.5;?;Lee to Cook, no run;
0.4;?;Lee to Cook, no run;
0.3;1;Lee to Pettini, 1 run;
0.2;?;Lee to Pettini, no run;
0.1;?;Lee to Pettini, no run;

 Innings Start
Australians
Essex
Tour Match (D/N), Chelmsford, Jun 26 2012, Australia tour of England and Ireland
313/9
134
Player of the match is Reece Topley, ESSEX
Australians won by 179 runs
